Cliente	Fecha	Pedido	Precio	Producto	Nombre_producto	Importancia		0.314049587		Etiquetas de fila	Suma de Importancia	Suma de Importancia2		Etiquetas de fila	Suma de Importancia	Suma de Importancia2
Cliente26	18/09/2017	20	700	VER0049	Yerbabuena / 100 gramos	14000				Tomate Chonto / Libra	5981700	15.53%		2016	4544930	11.80%
Cliente26	18/09/2017	10	1200	FRU0024	Limón Tahití / Libra	12000				Champiñón / Libra	4029800	10.47%		nov	2242240	5.82%
Cliente26	18/09/2017	4	1600	VER0041	Puerro / Libra	6400				Pimentón Rojo / Libra	2203150	5.72%		dic	2302690	5.98%
Cliente26	18/09/2017	10	1500	VER0038	Pimentón Rojo / Libra	15000				Lechuga Crespa / Unidad	1718400	4.46%		2017	33961390	88.20%
Cliente26	18/09/2017	8	1100	VER0010	Zucchini Verde / Libra	8800				Zucchini Verde / Libra	1628100	4.23%		ene	3360180	8.73%
Cliente26	18/09/2017	30	1000	VER0052	Plátano Maduro / Libra	30000				Cebolla Cabezona Roja / Libra	1352800	3.51%		feb	4348140	11.29%
Cliente26	18/09/2017	24	1000	TUB0012	Zanahoria / Libra	24000				Pepino Cohombro / Libra	1311030	3.40%		mar	3828920	9.94%
Cliente3	18/09/2017	1	4500	VER0050	Rúgula / Libra	4500				Cebolla Cabezona Blanca / Libra	1202220	3.12%		abr	2224950	5.78%
Cliente3	18/09/2017	1	3500	VER0043	Repollo Morado / Unidad	3500				Plátano Maduro / Libra	1132900	2.94%		may	1927300	5.01%
Cliente3	18/09/2017	2	1500	VER0038	Pimentón Rojo / Libra	3000				Zanahoria / Libra	1125600	2.92%		jun	3211850	8.34%
Cliente3	18/09/2017	2	1400	VER0028	Lechuga Crespa / Unidad	2800				Limón Tahití / Libra	1035500	2.69%		jul	4233700	10.99%
Cliente3	18/09/2017	1	1400	VER0020	Espinaca / Libra	1400				Berenjena / Libra	973400	2.53%		ago	7247750	18.82%
Cliente3	18/09/2017	2	500	VER0017	Cilantro / 100 gramos	1000				Perejil Crespo / 100 gramos	917200	2.38%		sep	3578600	9.29%
Cliente3	18/09/2017	3	7000	VER0016	Champiñón / Libra	21000				Tomate Larga Vida / Libra	719200	1.87%		Total general	38506320	100.00%
Cliente3	18/09/2017	1	1600	VER0013	Cebolla Cabezona Roja / Libra	1600				Aguacate Haas / Libra	600000	1.56%				
Cliente3	18/09/2017	5	1200	VER0007	Berenjena / Libra	6000				Banano Criollo / Libra	591600	1.54%				
Cliente3	18/09/2017	4	1000	TUB0012	Zanahoria / Libra	4000				Aguacate Papelillo / Libra	579900	1.51%				
Cliente3	18/09/2017	3	1400	TUB0010	Remolacha / Libra	4200				Mazorca Desgranada / Libra	482000	1.25%				
Cliente3	18/09/2017	1	1900	TUB0009	Rábano Rojo / Libra	1900				Fresa Pareja / Libra	463200	1.20%				
Cliente3	18/09/2017	5	700	TUB0006	Papa Pastusa / Libra	3500				Breva / Libra	462000	1.20%				
Cliente3	18/09/2017	2	1300	TUB0005	Papa Criolla / Libra	2600				Rúgula / Libra	384400	1.00%				
Cliente3	18/09/2017	3	3000	GRA0006	Mazorca Desgranada / Libra	9000				Piña Golden Sweet / Unidad	376480	0.98%				
Cliente3	18/09/2017	5	1300	FRU0046	Tomate Chonto / Libra	6500				Perejil Liso / 100 gramos	363900	0.95%				
Cliente3	18/09/2017	2	4000	FRU0045	Tomate Cherry / Libra	8000				Mora Castilla / Libra	345150	0.90%				
Cliente3	18/09/2017	1	4200	FRU0039	Patilla Baby / Unidad	4200				Mango Tommy Atkins / Libra	296780	0.77%				
Cliente3	18/09/2017	2	1200	FRU0024	Limón Tahití / Libra	2400				Brócoli / Libra	292640	0.76%				
Cliente3	18/09/2017	3	1100	FRU0008	Banano Criollo / Libra	3300				Papa Criolla / Libra	265540	0.69%				
Cliente3	18/09/2017	3	2000	FRU0003	Aguacate Papelillo / Libra	6000				Kiwi / Libra	253600	0.66%				
Cliente21	18/09/2017	4	1500	VER0038	Pimentón Rojo / Libra	6000				Tomate Cherry / Libra	251700	0.65%				
Cliente21	18/09/2017	16	1000	VER0052	Plátano Maduro / Libra	16000				Cebolla Larga / Libra	249500	0.65%				
Cliente21	18/09/2017	4	7000	VER0016	Champiñón / Libra	28000				Fresa Jumbo / Libra	240000	0.62%				
Cliente21	18/09/2017	4	1900	VER0009	Brócoli / Libra	7600				Papaya Melona / Unidad	222800	0.58%				
Cliente21	18/09/2017	8	1600	VER0013	Cebolla Cabezona Roja / Libra	12800				Espinaca / Libra	220100	0.57%				
Cliente21	18/09/2017	1	1100	VER0005	Apio / Libra	1100				Melón / Unidad	217700	0.57%				
Cliente21	18/09/2017	4	700	TUB0006	Papa Pastusa / Libra	2800				Arveja Desgranada / Libra	211860	0.55%				
Cliente21	18/09/2017	2	1400	FRU0048	Tomate Larga Vida / Libra	2800				Papa Sabanera / Libra	191040	0.50%				
Cliente21	18/09/2017	16	1300	FRU0046	Tomate Chonto / Libra	20800				Naranja Sweety / Libra	186140	0.48%				
Cliente21	18/09/2017	1	2100	FRU0033	Mora Castilla / Libra	2100				Habichuela / Libra	183100	0.48%				
Cliente21	18/09/2017	6	1300	FRU0030	Manzana Verde / Unidad	7800				Mazorca en Vaina / Unidad	177900	0.46%				
Cliente21	18/09/2017	3	1200	FRU0024	Limón Tahití / Libra	3600				Ahuyama / Libra	176300	0.46%				
Cliente21	18/09/2017	2	2300	FRU0054	Fresa Grande / Libra	4600				Agraz / Libra	175600	0.46%				
Cliente21	18/09/2017	2	3000	FRU0057	Fresa Jumbo / Libra	6000				Manzana Roja / Unidad	174480	0.45%				
Cliente21	18/09/2017	16	1100	FRU0008	Banano Criollo / Libra	17600				Manzana Verde / Unidad	162400	0.42%				
Cliente21	18/09/2017	2	2000	FRU0003	Aguacate Papelillo / Libra	4000				Papaya Hawaiana / Unidad	154100	0.40%				
Cliente27	18/09/2017	50	700	VER0006	Ahuyama / Libra	35000				Apio / Libra	145600	0.38%				
Cliente29	17/09/2017	1	900	VER0035	Pepino Cohombro / Libra	900				Puerro / Libra	142400	0.37%				
Cliente29	17/09/2017	1	1500	FRU0016	Fresa Pareja / Libra	1500				Fresa Grande / Libra	141000	0.37%				
Cliente29	17/09/2017	1	3500	FRU0042	Piña Golden Sweet / Unidad	3500				Lulo / Libra	138700	0.36%				
Cliente29	17/09/2017	2	1200	FRU0024	Limón Tahití / Libra	2400				Yerbabuena / 100 gramos	135940	0.35%				
Cliente29	17/09/2017	3	7000	VER0016	Champiñón / Libra	21000				Patilla / Unidad	135700	0.35%				
Cliente29	17/09/2017	9	1300	FRU0046	Tomate Chonto / Libra	11700				Ajo Importado / Libra	129600	0.34%				
Cliente29	17/09/2017	8	1400	VER0028	Lechuga Crespa / Unidad	11200				Repollo Morado / Unidad	126200	0.33%				
Cliente26	17/09/2017	4	1600	VER0041	Puerro / Libra	6400				Pitaya / Libra	119000	0.31%				
Cliente26	17/09/2017	24	1500	VER0038	Pimentón Rojo / Libra	36000				Papa Pastusa / Libra	108780	0.28%				
Cliente26	17/09/2017	6	1100	VER0010	Zucchini Verde / Libra	6600				Maracuyá / Libra	106470	0.28%				
Cliente26	17/09/2017	100	1000	VER0052	Plátano Maduro / Libra	100000				Guanabana / Unidad	105400	0.27%				
Cliente26	17/09/2017	8	1400	FRU0048	Tomate Larga Vida / Libra	11200				Cilantro / 100 gramos	104900	0.27%				
Cliente26	17/09/2017	22	1000	TUB0012	Zanahoria / Libra	22000				Arracacha / Libra	103800	0.27%				
Cliente26	17/09/2017	50	1200	VER0012	Cebolla Cabezona Blanca / Libra	60000				Patilla Baby / Unidad	103600	0.27%				
Cliente29	16/09/2017	1	2100	FRU0033	Mora Castilla / Libra	2100				Granadilla / Unidad	94760	0.25%				
Cliente29	16/09/2017	1	3500	FRU0042	Piña Golden Sweet / Unidad	3500				Rábano Rojo / Libra	93900	0.24%				
Cliente29	16/09/2017	2	1200	VER0012	Cebolla Cabezona Blanca / Libra	2400				Pera Importada / Unidad	90860	0.24%				
Cliente29	16/09/2017	8	1300	FRU0046	Tomate Chonto / Libra	10400				Alcachofa / Libra	85600	0.22%				
Cliente29	16/09/2017	4	7000	VER0016	Champiñón / Libra	28000				Esparrago / Libra	82800	0.22%				
Cliente29	16/09/2017	8	1400	VER0028	Lechuga Crespa / Unidad	11200				Zanahoria Baby / Libra	78400	0.20%				
Cliente3	16/09/2017	2	3500	VER0043	Repollo Morado / Unidad	7000				Ají Jalapeño / Libra	78400	0.20%				
Cliente3	16/09/2017	2	1500	VER0038	Pimentón Rojo / Libra	3000				Feijoa / Libra	76100	0.20%				
Cliente3	16/09/2017	2	800	VER0037	Perejil Liso / 100 gramos	1600				Repollo Blanco / Unidad	75200	0.20%				
Cliente3	16/09/2017	3	900	VER0035	Pepino Cohombro / Libra	2700				Yuca / Libra	72980	0.19%				
Cliente3	16/09/2017	3	1400	VER0028	Lechuga Crespa / Unidad	4200				Plátano Verde / Libra	72200	0.19%				
Cliente3	16/09/2017	2	1400	VER0020	Espinaca / Libra	2800				Pimentón Verde / Libra	70200	0.18%				
